description,created_at,title,version,mode_availability,requires_selected_artifact,tool_type,qa_related,updated_at,module_slug,created_by_system,requires_room_image,sort_order,slug,requires_media,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"SCAVerse editor tool: publish draft.","2026-06-06T03:15:57.012Z","Publish Draft","2.0.0","[""easy"",""expert""]","false","qa","true","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","45","publish-draft","false","active","6a239100471fe4e57999724d","2026-06-06T03:16:16.603000","2026-06-06T03:16:16.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: mark human verified.","2026-06-06T03:15:57.012Z","Mark Human Verified","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","44","mark-human-verified","false","active","6a2391007120f41b5c1e751d","2026-06-06T03:16:16.256000","2026-06-06T03:16:16.256000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: rollback revision.","2026-06-06T03:15:57.012Z","Rollback Revision","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","43","rollback-revision","false","active","6a2390ff9894097f802e82bb","2026-06-06T03:16:15.905000","2026-06-06T03:16:15.905000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: create revision.","2026-06-06T03:15:57.012Z","Create Revision","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","42","create-revision","false","active","6a2390ff923b01606ddf025a","2026-06-06T03:16:15.603000","2026-06-06T03:16:15.603000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: run publish check.","2026-06-06T03:15:57.012Z","Run Publish Check","2.0.0","[""easy"",""expert""]","false","qa","true","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","41","run-publish-check","false","active","6a2390ffe2477b2bf9f99db1","2026-06-06T03:16:15.196000","2026-06-06T03:16:15.196000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: preview low bandwidth.","2026-06-06T03:15:57.012Z","Preview Low Bandwidth","2.0.0","[""easy"",""expert""]","false","preview","true","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","40","preview-low-bandwidth","false","active","6a2390fe8d07b213432355c7","2026-06-06T03:16:14.853000","2026-06-06T03:16:14.853000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: preview as elderly.","2026-06-06T03:15:57.012Z","Preview As Elderly","2.0.0","[""easy"",""expert""]","false","preview","true","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","39","preview-as-elderly","false","active","6a2390fe6d0ee10e8acdd22a","2026-06-06T03:16:14.528000","2026-06-06T03:16:14.528000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: preview as child.","2026-06-06T03:15:57.012Z","Preview As Child","2.0.0","[""easy"",""expert""]","false","preview","true","2026-06-06T03:15:57.012Z","qa-publishing-layer","true","false","38","preview-as-child","false","active","6a2390fe549cb2d0b49cd813","2026-06-06T03:16:14.123000","2026-06-06T03:16:14.123000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: preview as visitor.","2026-06-06T03:15:57.012Z","Preview As Visitor","2.0.0","[""easy"",""expert""]","false","preview","true","2026-06-06T03:15:57.012Z","interaction-hotspot-layer","true","false","37","preview-as-visitor","false","active","6a2390fd1b3b73cf48452af3","2026-06-06T03:16:13.767000","2026-06-06T03:16:13.767000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: add shop action.","2026-06-06T03:15:57.012Z","Add Shop Action","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","interaction-hotspot-layer","true","false","36","add-shop-action","false","active","6a2390fd583b23dcdc8a085b","2026-06-06T03:16:13.440000","2026-06-06T03:16:13.440000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: add ticket action.","2026-06-06T03:15:57.012Z","Add Ticket Action","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","interaction-hotspot-layer","true","false","35","add-ticket-action","false","active","6a2390fd2df0e3fd14dc696a","2026-06-06T03:16:13.085000","2026-06-06T03:16:13.085000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: add quiz card.","2026-06-06T03:15:57.012Z","Add Quiz Card","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","interaction-hotspot-layer","true","false","34","add-quiz-card","false","active","6a2390fc33ddfbb1af73b303","2026-06-06T03:16:12.784000","2026-06-06T03:16:12.784000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: add guided step.","2026-06-06T03:15:57.012Z","Add Guided Step","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","interaction-hotspot-layer","true","false","33","add-guided-step","false","active","6a2390fc982ad27d7fb0d0c3","2026-06-06T03:16:12.389000","2026-06-06T03:16:12.389000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"SCAVerse editor tool: add compare hotspot.","2026-06-06T03:15:57.012Z","Add Compare Hotspot","2.0.0","[""easy"",""expert""]","false","editor","false","2026-06-06T03:15:57.012Z","interaction-hotspot-layer","true","false","32","add-compare-hotspot","false","active","6a2390fcc35e7af894f558b7","2026-06-06T03:16:12.060000","2026-06-06T03:16:12.060000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
