publishState,description,mimeType,isActive,createdAt,fileExtension,loop,fileUrl,renderType,muted,assignedPage,thumbnailUrl,updatedAt,originalFileName,updatedBy,mediaType,presetSlug,assignedComponent,autoplay,tags,presetName,sourceType,fileSize,createdBy,name,ownershipScope,id,created_date,updated_date,created_by_id,created_by,is_sample
"published","","","true","2026-06-03T04:09:27.312Z","gif","true","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","background","true","become_a_tenant","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","2026-06-03T04:09:27.312Z","giphy.gif","","image","home-hero-mobile-media","become_a_tenant.hero.mobile","true","[""platform"",""become_a_tenant.hero.mobile""]","Home Hero Mobile Media","url","0","","Home Hero Mobile Media","platform","6a1fa8f78b677c7c27b5a570","2026-06-03T04:09:27.725000","2026-06-03T04:09:27.725000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","","true","2026-06-03T04:08:51.486Z","gif","true","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","background","true","become_a_tenant","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","2026-06-03T04:08:51.486Z","giphy.gif","","image","home-background-video-reference","become_a_tenant.hero.background","true","[""platform"",""become_a_tenant.hero.background""]","Home Background Video Reference","url","0","","Home Background Video Reference","platform","6a1fa8d3f8885cbc87d6e038","2026-06-03T04:08:51.842000","2026-06-03T04:08:51.842000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","","true","2026-06-03T04:07:31.162Z","gif","true","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","background","true","become_a_tenant","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","2026-06-03T04:07:31.162Z","giphy.gif","","image","home-background-video-reference","become_a_tenant.hero.background","true","[""platform"",""become_a_tenant.hero.background""]","Home Background Video Reference","url","0","","Home Background Video Reference","platform","6a1fa883b313614b7b7eb3da","2026-06-03T04:07:31.480000","2026-06-03T04:07:31.480000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","image/png","true","2026-06-03T04:06:57.036Z","png","true","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/1e722ccdd_ChatGPTImageJun3202611_09_11AM.png","background","true","become_a_tenant","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/1e722ccdd_ChatGPTImageJun3202611_09_11AM.png","2026-06-03T04:06:57.036Z","ChatGPT Image Jun 3, 2026, 11_09_11 AM.png","","image","home-background-video-reference","become_a_tenant.hero.background","true","[""platform"",""become_a_tenant.hero.background""]","Home Background Video Reference","upload","630843","","Home Background Video Reference","platform","6a1fa861482b55f1217f5468","2026-06-03T04:06:57.322000","2026-06-03T04:06:57.322000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","image/png","true","2026-06-03T04:06:45.827Z","png","true","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/ebbd8584c_ChatGPTImageJun3202611_09_11AM.png","background","true","become_a_tenant","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/ebbd8584c_ChatGPTImageJun3202611_09_11AM.png","2026-06-03T04:06:45.827Z","ChatGPT Image Jun 3, 2026, 11_09_11 AM.png","","image","home-background-video-reference","become_a_tenant.hero.background","true","[""platform"",""become_a_tenant.hero.background""]","Home Background Video Reference","upload","630843","","Home Background Video Reference","platform","6a1fa8561d1751e57bc22e6b","2026-06-03T04:06:46.456000","2026-06-03T04:06:46.456000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","image/png","true","2026-06-03T04:06:30.711Z","png","true","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/7e49b126a_ChatGPTImageJun3202611_09_11AM.png","background","true","become_a_tenant","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/7e49b126a_ChatGPTImageJun3202611_09_11AM.png","2026-06-03T04:06:30.711Z","ChatGPT Image Jun 3, 2026, 11_09_11 AM.png","","image","home-background-video-reference","become_a_tenant.hero.background","true","[""platform"",""become_a_tenant.hero.background""]","Home Background Video Reference","upload","630843","","Home Background Video Reference","platform","6a1fa846cb5456bd585e4692","2026-06-03T04:06:30.999000","2026-06-03T04:06:30.999000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","image/png","true","2026-06-03T03:19:47.321Z","png","true","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/3fa1a1a57_ChatGPTImageJun3202611_09_11AM.png","background","true","platform_home","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/3fa1a1a57_ChatGPTImageJun3202611_09_11AM.png","2026-06-03T03:19:47.321Z","ChatGPT Image Jun 3, 2026, 11_09_11 AM.png","","image","home-hero-mobile-media","platform_home.hero.mobile","true","[""platform"",""platform_home.hero.mobile""]","Home Hero Mobile Media","upload","630843","","Home Hero Mobile Media","platform","6a1f9d53818a8142fda2b072","2026-06-03T03:19:47.599000","2026-06-03T03:19:47.599000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","","true","2026-06-03T03:15:55.136Z","gif","true","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","background","true","platform_home","https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif","2026-06-03T03:15:55.136Z","giphy.gif","","image","home-background-video-reference","platform_home.gateway.background_video","true","[""platform"",""platform_home.gateway.background_video""]","Home Background Video Reference","url","0","","Home Background Video Reference","platform","6a1f9c6b51c7bdbf0978a34c","2026-06-03T03:15:55.394000","2026-06-03T03:15:55.394000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","image/png","true","2026-06-03T03:09:27.148Z","png","true","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/4b7c33e53_ChatGPTImageJun3202611_09_11AM.png","background","true","platform_home","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/4b7c33e53_ChatGPTImageJun3202611_09_11AM.png","2026-06-03T03:09:27.148Z","ChatGPT Image Jun 3, 2026, 11_09_11 AM.png","","image","home-background-video-reference","platform_home.gateway.background_video","true","[""platform"",""platform_home.gateway.background_video""]","Home Background Video Reference","upload","630843","","Home Background Video Reference","platform","6a1f9ae72b65cae2a221a543","2026-06-03T03:09:27.427000","2026-06-03T03:09:27.427000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"published","","image/png","true","2026-06-02T12:08:19.640Z","png","true","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/3040864f1_ChatGPTImageJun1202611_59_54PM.png","background","true","platform_home","https://base44.app/api/apps/6a171d7f6abbd230a00539e2/files/mp/public/6a171d7f6abbd230a00539e2/3040864f1_ChatGPTImageJun1202611_59_54PM.png","2026-06-02T12:08:19.640Z","ChatGPT Image Jun 1, 2026, 11_59_54 PM.png","","image","home-background-video-reference","platform_home.gateway.background_video","true","[""platform"",""platform_home.gateway.background_video""]","Home Background Video Reference","upload","630843","","Home Background Video Reference","platform","6a1ee3e73fd99b605d7f7604","2026-06-02T14:08:39.528000","2026-06-02T14:08:39.528000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
