critical,last_status,check_type,label,check_key,enabled,last_checked_at,route,expected_behavior,tenant_scope,domain,selector,last_issue_key,id,created_date,updated_date,created_by_id,created_by,is_sample
"false","unknown","spatial_editor","Floor Detection Required","spatial-editor-floor-detection-required","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate floor detection required before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f6a","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"false","unknown","spatial_editor","Floor Confidence Warning","spatial-editor-floor-confidence-warning","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate floor confidence warning before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f6b","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"false","unknown","spatial_editor","Manual Floor Human Verified","spatial-editor-manual-floor-human-verified","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate manual floor human verified before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f6c","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"true","unknown","publish_gate","Sprite Must Not Float","spatial-editor-sprite-must-not-float","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate sprite must not float before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f6d","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"true","unknown","publish_gate","Sprite Must Not Sink","spatial-editor-sprite-must-not-sink","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate sprite must not sink before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f6e","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"true","unknown","publish_gate","Sprite Must Remain Visible","spatial-editor-sprite-must-remain-visible","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate sprite must remain visible before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f6f","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"true","unknown","publish_gate","Sprite Must Have Media","spatial-editor-sprite-must-have-media","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate sprite must have media before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f70","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"false","unknown","spatial_editor","Sprite Background Cleanup Warning","spatial-editor-sprite-background-cleanup-warning","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate sprite background cleanup warning before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f71","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"true","unknown","publish_gate","Scrollable Room Coordinate Lock","spatial-editor-scrollable-room-coordinate-lock","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate scrollable room coordinate lock before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f72","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"true","unknown","publish_gate","Mobile Safe Zone Check","spatial-editor-mobile-safe-zone-check","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate mobile safe zone check before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f73","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"false","unknown","spatial_editor","Missing Artifact Caption","spatial-editor-missing-artifact-caption","true","2026-06-06T03:17:27.978Z","/museum/:tenantSlug/admin/walkthrough","Validate missing artifact caption before publish.","per_tenant","tenant_admin","","","6a23914a77f8fa592ccf5f74","2026-06-06T03:17:30.800000","2026-06-06T03:17:30.800000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
