tenant_id,regression_count,regression_test_steps,evidence,tenant_slug,root_cause_hypothesis,description,title,likely_files_affected,video_url,fix_summary,fix_complexity,reproduction_steps,last_verified_at,fingerprint,actual_result,verification_command,network_errors,autofix_forbidden_reason,expected_result,severity,area,test_run_id,occurrence_count,component_name,first_seen_at,console_errors,human_impact,recommended_fix_steps,issue_key,likely_cause,risk_level,estimated_fix_area,cta_label,route,safe_to_autofix,domain,function_name,fixed_at,likely_components_affected,screenshot_url,last_seen_at,developer_notes,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","0","[""Open /platform/admin/modules/onboarding"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","","The issue likely comes from role guard, route guard, user type, tenant access, master admin access, or gated content logic.","API failed with 403","Permission failure detected","[""lib/access-control.js"",""lib/rbac.js"",""components/access/DomainAccessGate.jsx""]","","Validate access checks match the user role, domain, and tenant context.","moderate","[""Open /platform/admin/modules/onboarding"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-08T01:40:33.165Z","gcn74d","API failed with 403","Manual verification: open /platform/admin/modules/onboarding, repeat the regression steps, then run QA Sentinel regression test.","[{""status"":403,""url"":""/api/app-logs/6a171d7f6abbd230a00539e2/log-user-in-app/platform""}]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","permission","","1","fetch","2026-06-08T01:40:33.165Z","[]","A protected flow is blocked or access control may be misconfigured.","[""Check role guard logic for the affected route."",""Verify master admin versus tenant admin access rules."",""Confirm tenant access is evaluated before rendering protected content."",""Show a clear unauthorized state when access is blocked.""]","qa-gcn74d","Role gate or auth state mismatch.","high","permissions","","/platform/admin/modules/onboarding","false","master_admin","","","[""DomainAccessGate"",""ProtectedRoute""]","","2026-06-08T01:40:33.165Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a261d937f474d505c2ec867","2026-06-08T01:40:35.375000","2026-06-08T01:40:35.375000","6a1d7b4bdefceb0981cc0061","sawfi.muliana@gmail.com","false"
"","0","[""Open /virtual-experience"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","","The issue needs deterministic verification against the affected UI flow and stored data contract.","error {}","Runtime issue detected","[""App.jsx"",""lib/qa-sentinel/*"",""affected page/component""]","","Inspect the affected route, component, data payload, and runtime logs before changing code.","moderate","[""Open /virtual-experience"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T17:34:04.671Z","1i6s22","error {}","Manual verification: open /virtual-experience, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","runtime","","2","console","2026-06-07T16:43:52.341Z","[""error {}""]","A runtime behavior changed and needs verification.","[""Open the affected route."",""Repeat the captured reproduction steps."",""Check console/network errors."",""Compare expected and actual stored data."",""Apply the smallest targeted fix and retest.""]","qa-1i6s22","Needs deterministic retest against the affected UI flow.","medium","unknown","","/virtual-experience","false","system","","","[""Affected route"",""Affected component""]","","2026-06-07T17:34:04.671Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a259fc95f05ed79f1560213","2026-06-07T16:43:53.243000","2026-06-07T17:34:05.230000","6a18e96a24bf4a37b9c28ed4","dinesh_santher@yahoo.com.my","false"
"","0","[""Open /virtual-experience"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","","The issue needs deterministic verification against the affected UI flow and stored data contract.","connect_error {}","Runtime issue detected","[""App.jsx"",""lib/qa-sentinel/*"",""affected page/component""]","","Inspect the affected route, component, data payload, and runtime logs before changing code.","moderate","[""Open /virtual-experience"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T17:34:04.665Z","wf4c39","connect_error {}","Manual verification: open /virtual-experience, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","runtime","","2","console","2026-06-07T16:43:52.345Z","[""connect_error {}""]","A runtime behavior changed and needs verification.","[""Open the affected route."",""Repeat the captured reproduction steps."",""Check console/network errors."",""Compare expected and actual stored data."",""Apply the smallest targeted fix and retest.""]","qa-wf4c39","Needs deterministic retest against the affected UI flow.","medium","unknown","","/virtual-experience","false","system","","","[""Affected route"",""Affected component""]","","2026-06-07T17:34:04.665Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a259fc8c5642867bba5496f","2026-06-07T16:43:52.930000","2026-06-07T17:34:05.590000","6a18e96a24bf4a37b9c28ed4","dinesh_santher@yahoo.com.my","false"
"","0","[""Open /"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","","The issue needs deterministic verification against the affected UI flow and stored data contract.","error {""description"":{""isTrusted"":true},""type"":""TransportError""}","Runtime issue detected","[""App.jsx"",""lib/qa-sentinel/*"",""affected page/component""]","","Inspect the affected route, component, data payload, and runtime logs before changing code.","moderate","[""Open /"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T16:24:09.311Z","kauwfq","error {""description"":{""isTrusted"":true},""type"":""TransportError""}","Manual verification: open /, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","runtime","","2","console","2026-06-07T16:23:46.863Z","[""error {\""description\"":{\""isTrusted\"":true},\""type\"":\""TransportError\""}""]","A runtime behavior changed and needs verification.","[""Open the affected route."",""Repeat the captured reproduction steps."",""Check console/network errors."",""Compare expected and actual stored data."",""Apply the smallest targeted fix and retest.""]","qa-kauwfq","Needs deterministic retest against the affected UI flow.","medium","unknown","","/","false","system","","","[""Affected route"",""Affected component""]","","2026-06-07T16:24:09.311Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a259b1350b42f0b94558518","2026-06-07T16:23:47.446000","2026-06-07T16:24:09.951000","6a18e96a24bf4a37b9c28ed4","dinesh_santher@yahoo.com.my","false"
"","0","[""Open /"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","","The issue needs deterministic verification against the affected UI flow and stored data contract.","connect_error {""description"":{""isTrusted"":true},""type"":""TransportError""}","Runtime issue detected","[""App.jsx"",""lib/qa-sentinel/*"",""affected page/component""]","","Inspect the affected route, component, data payload, and runtime logs before changing code.","moderate","[""Open /"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T16:24:09.344Z","e82779","connect_error {""description"":{""isTrusted"":true},""type"":""TransportError""}","Manual verification: open /, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","runtime","","2","console","2026-06-07T16:23:46.847Z","[""connect_error {\""description\"":{\""isTrusted\"":true},\""type\"":\""TransportError\""}""]","A runtime behavior changed and needs verification.","[""Open the affected route."",""Repeat the captured reproduction steps."",""Check console/network errors."",""Compare expected and actual stored data."",""Apply the smallest targeted fix and retest.""]","qa-e82779","Needs deterministic retest against the affected UI flow.","medium","unknown","","/","false","system","","","[""Affected route"",""Affected component""]","","2026-06-07T16:24:09.344Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a259b13b4c4024364995b2a","2026-06-07T16:23:47.442000","2026-06-07T16:24:09.936000","6a18e96a24bf4a37b9c28ed4","dinesh_santher@yahoo.com.my","false"
"","0","[""Open /"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","","The issue likely comes from render exceptions, missing imports, undefined props, missing entity data guards, Suspense/loading boundaries, or console errors.","[Base44 SDK Error] undefined: timeout exceeded","Runtime issue detected","[""App.jsx"",""lib/qa-sentinel/*"",""affected page/component""]","","Guard missing data and resolve render/import errors on the affected page.","moderate","[""Open /"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T15:36:40.707Z","ahwtsv","[Base44 SDK Error] undefined: timeout exceeded","Manual verification: open /, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","runtime","","1","console","2026-06-07T15:36:40.707Z","[""[Base44 SDK Error] undefined: timeout exceeded""]","A runtime behavior changed and needs verification.","[""Review console errors for the first render exception."",""Check imports and exported component names."",""Add guards for optional entity data before rendering."",""Provide loading and empty states for async data.""]","qa-ahwtsv","Needs deterministic retest against the affected UI flow.","critical","frontend","","/","false","system","","","[""Affected page"",""Affected component""]","","2026-06-07T15:36:40.707Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a25900907519cda5aa60ed4","2026-06-07T15:36:41.289000","2026-06-07T15:36:41.289000","6a18e96a24bf4a37b9c28ed4","dinesh_santher@yahoo.com.my","false"
"","0","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","asia-operatic-museum","The issue likely comes from App.jsx route registration, route-registry.js, sidebar path, redirect handling, or tenantSlug params.","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:112:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:214:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4601:5)
    at div
    at div
    at Publ","Route or redirect failure detected","[""App.jsx"",""lib/route-registry.js"",""components/admin/MasterAdminSidebar.jsx"",""components/routing/CanonicalRedirects.jsx""]","","Align the rendered route, registry route, sidebar link, and redirect target.","moderate","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T14:29:49.436Z","eudht1","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:112:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:214:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4601:5)
    at div
    at div
    at Publ","Manual verification: open /museum/asia-operatic-museum/tickets, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","routing","","3","console","2026-06-07T14:28:59.464Z","[""Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general \n    at div\n    at div\n    at section\n    at main\n    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=1780842428971:112:23)\n    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=1780842428971:214:20)\n    at Tickets1\n    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4131:5)\n    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4601:5)\n    at div\n    at div\n    at Publ""]","Users may land on the wrong page or a dead end.","[""Check App.jsx contains the target route."",""Verify route-registry.js uses the same path."",""Confirm sidebar/navigation links point to the canonical route."",""Validate tenantSlug route parameters and redirect handling.""]","qa-eudht1","Route registry, App route, redirect, or sidebar link mismatch.","high","routing","","/museum/asia-operatic-museum/tickets","false","public_museum","","","[""Router"",""Sidebar"",""CanonicalRedirects""]","","2026-06-07T14:29:49.436Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a25802cf7cfdee41a499a97","2026-06-07T14:29:00.215000","2026-06-07T14:29:50.100000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"","0","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","asia-operatic-museum","The issue likely comes from App.jsx route registration, route-registry.js, sidebar path, redirect handling, or tenantSlug params.","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx:112:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx:214:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4601:5)
    at div
    at div
    at PublicImmersiveLayer (https://previe","Route or redirect failure detected","[""App.jsx"",""lib/route-registry.js"",""components/admin/MasterAdminSidebar.jsx"",""components/routing/CanonicalRedirects.jsx""]","","Align the rendered route, registry route, sidebar link, and redirect target.","moderate","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T14:14:41.173Z","yyyvu7","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx:112:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx:214:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4601:5)
    at div
    at div
    at PublicImmersiveLayer (https://previe","Manual verification: open /museum/asia-operatic-museum/tickets, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","routing","","3","console","2026-06-07T13:44:26.514Z","[""Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general \n    at div\n    at div\n    at section\n    at main\n    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx:112:23)\n    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx:214:20)\n    at Tickets1\n    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4131:5)\n    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=4ba086fc:4601:5)\n    at div\n    at div\n    at PublicImmersiveLayer (https://previe""]","Users may land on the wrong page or a dead end.","[""Check App.jsx contains the target route."",""Verify route-registry.js uses the same path."",""Confirm sidebar/navigation links point to the canonical route."",""Validate tenantSlug route parameters and redirect handling.""]","qa-yyyvu7","Route registry, App route, redirect, or sidebar link mismatch.","high","routing","","/museum/asia-operatic-museum/tickets","false","public_museum","","","[""Router"",""Sidebar"",""CanonicalRedirects""]","","2026-06-07T14:14:41.173Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a2575bb20ed00f0b6b2c2ad","2026-06-07T13:44:27.195000","2026-06-07T14:14:41.937000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"","0","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","asia-operatic-museum","The issue likely comes from App.jsx route registration, route-registry.js, sidebar path, redirect handling, or tenantSlug params.","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:112:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:214:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4601:5)
    at div
    at div
    at Publ","Route or redirect failure detected","[""App.jsx"",""lib/route-registry.js"",""components/admin/MasterAdminSidebar.jsx"",""components/routing/CanonicalRedirects.jsx""]","","Align the rendered route, registry route, sidebar link, and redirect target.","moderate","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T13:17:00.895Z","sixmth","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:112:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:214:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4601:5)
    at div
    at div
    at Publ","Manual verification: open /museum/asia-operatic-museum/tickets, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","routing","","4","console","2026-06-07T13:16:23.764Z","[""Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general \n    at div\n    at div\n    at section\n    at main\n    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=1780838063938:112:23)\n    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=1780838063938:214:20)\n    at Tickets1\n    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4131:5)\n    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4601:5)\n    at div\n    at div\n    at Publ""]","Users may land on the wrong page or a dead end.","[""Check App.jsx contains the target route."",""Verify route-registry.js uses the same path."",""Confirm sidebar/navigation links point to the canonical route."",""Validate tenantSlug route parameters and redirect handling.""]","qa-sixmth","Route registry, App route, redirect, or sidebar link mismatch.","high","routing","","/museum/asia-operatic-museum/tickets","false","public_museum","","","[""Router"",""Sidebar"",""CanonicalRedirects""]","","2026-06-07T13:17:00.895Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a256f28857e7bed64fa7917","2026-06-07T13:16:24.541000","2026-06-07T13:17:01.609000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"","0","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the issue reproduction flow."",""Confirm the expected result now happens."",""Reload the page and confirm the fix persists."",""Verify no new QA Sentinel issue is created for the same flow.""]","{}","asia-operatic-museum","The issue likely comes from App.jsx route registration, route-registry.js, sidebar path, redirect handling, or tenantSlug params.","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:108:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:209:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4601:5)
    at div
    at div
    at Publ","Route or redirect failure detected","[""App.jsx"",""lib/route-registry.js"",""components/admin/MasterAdminSidebar.jsx"",""components/routing/CanonicalRedirects.jsx""]","","Align the rendered route, registry route, sidebar link, and redirect target.","moderate","[""Open /museum/asia-operatic-museum/tickets"",""Repeat the captured user action"",""Observe the reported failure""]","2026-06-07T12:48:34.718Z","cj5gro","Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general 
    at div
    at div
    at section
    at main
    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:108:23)
    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=[payment]:209:20)
    at Tickets1
    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4131:5)
    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4601:5)
    at div
    at div
    at Publ","Manual verification: open /museum/asia-operatic-museum/tickets, repeat the regression steps, then run QA Sentinel regression test.","[]","Automatic production code edits are disabled. The Fix Intelligence Layer only suggests fixes until an explicit developer-only autofix system exists.","The interaction should complete without runtime, routing, network, permission, or persistence errors.","major","routing","","4","console","2026-06-07T12:47:34.609Z","[""Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s virtual_general \n    at div\n    at div\n    at section\n    at main\n    at StageShell (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=1780836414731:108:23)\n    at TicketGateway (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/src/components/tenant/ticketing/TenantTicketJourney.jsx?t=1780836414731:209:20)\n    at Tickets1\n    at RenderedRoute (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4131:5)\n    at Routes (https://preview-sandbox--6a171d7f6abbd230a00539e2.base44.app/node_modules/.vite/deps/react-router-dom.js?v=8c559173:4601:5)\n    at div\n    at div\n    at Publ""]","Users may land on the wrong page or a dead end.","[""Check App.jsx contains the target route."",""Verify route-registry.js uses the same path."",""Confirm sidebar/navigation links point to the canonical route."",""Validate tenantSlug route parameters and redirect handling.""]","qa-cj5gro","Route registry, App route, redirect, or sidebar link mismatch.","high","routing","","/museum/asia-operatic-museum/tickets","false","public_museum","","","[""Router"",""Sidebar"",""CanonicalRedirects""]","","2026-06-07T12:48:34.718Z","Generated by deterministic QA Fix Intelligence rules. No LLM call or integration credit burn was used.","open","6a256867d8aac902dc76705d","2026-06-07T12:47:35.196000","2026-06-07T12:48:35.199000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
